trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
40,False,"{'a': 0.33448587928484014, 'e': 0.6689717585696803}",20,3,-117.56297628326514,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 3}",1
41,False,"{'a': 0.33114102049199173, 'e': 0.6622820409839835}",20,8,-15.038760335100303,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
42,False,"{'a': 0.3278296102870718, 'e': 0.6556592205741436}",20,0,-143.94906615373466,"{0: 13, 1: 2, 2: 1, 3: 1, 4: 3}",0
43,False,"{'a': 0.3245513141842011, 'e': 0.6491026283684022}",25,0,-31.287611037157582,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
44,False,"{'a': 0.32130580104235906, 'e': 0.6426116020847181}",20,0,-43.05647639603124,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
45,False,"{'a': 0.31809274303193547, 'e': 0.6361854860638709}",25,0,-56.55498955231918,"{0: 16, 1: 5, 2: 3, 3: 1, 4: 0}",0
46,False,"{'a': 0.31491181560161613, 'e': 0.6298236312032323}",20,0,-47.04946458410191,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
47,False,"{'a': 0.3117626974456, 'e': 0.6235253948912}",35,0,-259.04720564963606,"{0: 22, 1: 0, 2: 6, 3: 3, 4: 4}",0
48,False,"{'a': 0.308645070471144, 'e': 0.617290140942288}",20,0,-66.60724018175252,"{0: 13, 1: 5, 2: 0, 3: 1, 4: 1}",0
49,False,"{'a': 0.3055586197664325, 'e': 0.611117239532865}",25,0,-101.70920797053476,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
50,False,"{'a': 0.3025030335687682, 'e': 0.6050060671375364}",20,0,-38.02388771995285,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
51,False,"{'a': 0.2994780032330805, 'e': 0.598956006466161}",25,4,-47.958758772477914,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 1}",1
52,False,"{'a': 0.2964832232007497, 'e': 0.5929664464014994}",25,8,-114.06087145653883,"{0: 8, 1: 2, 2: 4, 3: 2, 4: 1}",1
53,False,"{'a': 0.2935183909687422, 'e': 0.5870367819374844}",35,21,4.608356280067484,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
54,False,"{'a': 0.29058320705905477, 'e': 0.5811664141181095}",30,0,-44.938234129679515,"{0: 22, 1: 2, 2: 6, 3: 0, 4: 0}",0
55,False,"{'a': 0.28767737498846424, 'e': 0.5753547499769285}",20,13,-4.3453559061192415,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
56,False,"{'a': 0.2848006012385796, 'e': 0.5696012024771592}",30,0,-113.99363247051784,"{0: 20, 1: 3, 2: 4, 3: 2, 4: 1}",0
57,False,"{'a': 0.28195259522619376, 'e': 0.5639051904523875}",20,0,-115.70118872734032,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 3}",0
58,False,"{'a': 0.27913306927393183, 'e': 0.5582661385478637}",25,4,-46.31997190787247,"{0: 13, 1: 3, 2: 5, 3: 0, 4: 0}",1
59,False,"{'a': 0.27634173858119254, 'e': 0.5526834771623851}",30,5,-126.54280468674416,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 3}",1
60,False,"{'a': 0.2735783211953806, 'e': 0.5471566423907612}",35,0,-32.17618176627696,"{0: 27, 1: 2, 2: 6, 3: 0, 4: 0}",0
61,False,"{'a': 0.2708425379834268, 'e': 0.5416850759668536}",20,12,4.723616612058522,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.2681341126035925, 'e': 0.536268225207185}",30,0,-35.682092645140436,"{0: 24, 1: 0, 2: 5, 3: 1, 4: 0}",0
63,False,"{'a': 0.2654527714775566, 'e': 0.5309055429551132}",25,11,-35.51207456923272,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
64,False,"{'a': 0.262798243762781, 'e': 0.525596487525562}",25,4,-52.66905032773859,"{0: 15, 1: 2, 2: 2, 3: 2, 4: 0}",1
65,False,"{'a': 0.2601702613251532, 'e': 0.5203405226503064}",25,0,-135.429285715315,"{0: 16, 1: 2, 2: 3, 3: 2, 4: 2}",0
66,False,"{'a': 0.25756855871190165, 'e': 0.5151371174238033}",20,5,-51.78934594354293,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 1}",1
67,False,"{'a': 0.25499287312478264, 'e': 0.5099857462495653}",20,1,-54.161522140933826,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 0}",1
68,False,"{'a': 0.2524429443935348, 'e': 0.5048858887870696}",25,0,-54.11101302112225,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
